margDBRK,n,landing,coverage
BDG,9,0,1
BRG,326,531408,0.957055214723926
CRS,50,377839,0.9
ERK,323,651570,0.876160990712074
MNT,108,7679,1
MRO,138,2352,1
OSF,29,5802,1
HKL,110,3589,1
NET,6,0,1
TWL,867,1573061,0.931949250288351
1978,124,78910,0.935483870967742
1979,102,233217,0.970588235294118
1980,271,322036,0.959409594095941
1981,237,619303,0.940928270042194
1982,249,323184,0.907630522088353
Q1,162,549140,0.969135802469136
Q2,289,386369,0.920415224913495
Q3,340,290371,0.961764705882353
Q4,192,350770,0.90625
