margGRAS,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.993865030674847
CRS,50,0,1
ERK,323,1251,0.996904024767802
MNT,108,0,0.824074074074074
MRO,138,0,0.833333333333333
OSF,29,0,1
HKL,110,0,0.827272727272727
NET,6,0,0.333333333333333
TWL,867,1251,0.974625144175317
1978,124,0,0.975806451612903
1979,102,0,0.970588235294118
1980,271,0,0.944649446494465
1981,237,0,0.987341772151899
1982,249,1251,0.91566265060241
Q1,162,0,0.888888888888889
Q2,289,1251,0.916955017301038
Q3,340,0,0.991176470588235
Q4,192,0,1
