margMXRF,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,15828,0.44478527607362
CRS,50,0,0.52
ERK,323,0,0.386996904024768
MNT,108,0,0.435185185185185
MRO,138,0,0.369565217391304
OSF,29,0,0.344827586206897
HKL,110,0,0.363636363636364
NET,6,0,0.166666666666667
TWL,867,15828,0.427912341407151
1978,124,0,0.225806451612903
1979,102,0,0.392156862745098
1980,271,15828,0.55719557195572
1981,237,0,0.383966244725738
1982,249,0,0.409638554216867
Q1,162,0,0.277777777777778
Q2,289,6676,0.314878892733564
Q3,340,9152,0.458823529411765
Q4,192,0,0.625
