margREX,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.273006134969325
CRS,50,0,0.1
ERK,323,0,0.213622291021672
MNT,108,0,0.138888888888889
MRO,138,0,0.253623188405797
OSF,29,3731,0.241379310344828
HKL,110,0,0.254545454545455
NET,6,0,0.333333333333333
TWL,867,3731,0.219146482122261
1978,124,0,0.0161290322580645
1979,102,0,0.156862745098039
1980,271,0,0.416974169741697
1981,237,0,0.0337552742616034
1982,249,3731,0.325301204819277
Q1,162,0,0.179012345679012
Q2,289,3731,0.252595155709343
Q3,340,0,0.170588235294118
Q4,192,0,0.3125
