margROSY,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.438650306748466
CRS,50,0,0.36
ERK,323,0,0.284829721362229
MNT,108,0,0.62962962962963
MRO,138,321,0.485507246376812
OSF,29,0,0.689655172413793
HKL,110,321,0.463636363636364
NET,6,0,0.5
TWL,867,0,0.412918108419839
1978,124,0,0.475806451612903
1979,102,0,0.617647058823529
1980,271,60,0.498154981549816
1981,237,136,0.413502109704641
1982,249,125,0.228915662650602
Q1,162,125,0.277777777777778
Q2,289,0,0.519031141868512
Q3,340,60,0.35
Q4,192,136,0.510416666666667
