margSTRK,n,landing,coverage
BDG,9,0,1
BRG,326,127568,0.987730061349693
CRS,50,10870,0.92
ERK,323,14240,0.975232198142415
MNT,108,28922,0.972222222222222
MRO,138,0,1
OSF,29,4362,1
HKL,110,0,1
NET,6,0,1
TWL,867,185962,0.978085351787774
1978,124,25258,0.975806451612903
1979,102,67002,0.96078431372549
1980,271,65546,0.981549815498155
1981,237,6271,1
1982,249,21885,0.971887550200803
Q1,162,30435,0.993827160493827
Q2,289,30177,0.97923875432526
Q3,340,73936,0.970588235294118
Q4,192,51414,0.989583333333333
