margSWSP,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.450920245398773
CRS,50,0,0.46
ERK,323,0,0.164086687306502
MNT,108,0,0.185185185185185
MRO,138,0,0.202898550724638
OSF,29,0,0.137931034482759
HKL,110,0,0.190909090909091
NET,6,0,0.333333333333333
TWL,867,0,0.290657439446367
1978,124,0,0.298387096774194
1979,102,0,0.686274509803922
1980,271,0,0.265682656826568
1981,237,0,0.350210970464135
1982,249,0,0.0522088353413655
Q1,162,0,0.425925925925926
Q2,289,0,0.301038062283737
Q3,340,0,0.238235294117647
Q4,192,0,0.197916666666667
