"marginalBRWN","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,4315,0.745398773006135
"CRS",50,0,0.78
"ERK",323,1394,0.95046439628483
"MNT",108,0,0.888888888888889
"MRO",138,144491,0.753623188405797
"OSF",29,35728,0.931034482758621
"HKL",110,35728,0.745454545454545
"NET",6,0,0.666666666666667
"TWL",867,150200,0.848904267589389
"1978",124,0,0.629032258064516
"1979",102,0,0.558823529411765
"1980",271,181604,0.96309963099631
"1981",237,2930,0.89873417721519
"1982",249,1394,0.855421686746988
"Q1",162,0,0.833333333333333
"Q2",289,35728,0.8719723183391
"Q3",340,4315,0.779411764705882
"Q4",192,145885,0.885416666666667
