"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.831288343558282
"CRS",50,0,0.76
"ERK",323,0,1
"MNT",108,1398,0.990740740740741
"MRO",138,0,0.985507246376812
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,1398,0.919261822376009
"1978",124,0,1
"1979",102,0,0.656862745098039
"1980",271,1398,0.955719557195572
"1981",237,0,0.915611814345992
"1982",249,0,0.987951807228916
"Q1",162,0,0.981481481481482
"Q2",289,0,0.892733564013841
"Q3",340,1398,0.944117647058824
"Q4",192,0,0.911458333333333
