"marginalREX","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.815950920245399
"CRS",50,0,1
"ERK",323,0,0.996904024767802
"MNT",108,0,0.888888888888889
"MRO",138,0,0.934782608695652
"OSF",29,3731,0.96551724137931
"HKL",110,0,0.954545454545455
"NET",6,0,0.333333333333333
"TWL",867,3731,0.914648212226067
"1978",124,0,0.620967741935484
"1979",102,0,0.823529411764706
"1980",271,0,1
"1981",237,0,0.978902953586498
"1982",249,3731,0.947791164658635
"Q1",162,0,0.888888888888889
"Q2",289,3731,0.937716262975779
"Q3",340,0,0.864705882352941
"Q4",192,0,0.994791666666667
