"marginalSSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,5376,0.932515337423313
"CRS",50,0,1
"ERK",323,250,0.95046439628483
"MNT",108,1340,0.981481481481482
"MRO",138,17160,0.934782608695652
"OSF",29,1189,0.793103448275862
"HKL",110,0,0.990909090909091
"NET",6,0,1
"TWL",867,25315,0.937716262975779
"1978",124,250,0.870967741935484
"1979",102,0,1
"1980",271,6565,0.911439114391144
"1981",237,0,0.974683544303797
"1982",249,18500,0.963855421686747
"Q1",162,1189,0.969135802469136
"Q2",289,19275,0.97923875432526
"Q3",340,4851,0.935294117647059
"Q4",192,0,0.885416666666667
