"marginalCLPR","n","landing","coverage"
"BDG",9,160601,0.888888888888889
"BRG",326,5460561,0.904907975460123
"CRS",50,18822,1
"ERK",323,1278213,0.978328173374613
"MNT",108,1573782,0.916666666666667
"MRO",138,841860,0.971014492753623
"OSF",29,837157,1
"HKL",110,597138,0.972727272727273
"NET",6,0,1
"TWL",867,9573858,0.943483275663206
"1978",124,1172492,0.983870967741935
"1979",102,2327247,0.882352941176471
"1980",271,2560887,0.918819188191882
"1981",237,2252765,0.962025316455696
"1982",249,1857605,0.971887550200803
"Q1",162,2134234,0.950617283950617
"Q2",289,2254890,0.937716262975779
"Q3",340,3183438,0.955882352941177
"Q4",192,2598434,0.942708333333333
