"marginalCNRY","n","landing","coverage"
"BDG",9,66834,1
"BRG",326,1975794,0.95398773006135
"CRS",50,1398777,0.78
"ERK",323,1577283,0.882352941176471
"MNT",108,20852,0.990740740740741
"MRO",138,100136,1
"OSF",29,7637,0.96551724137931
"HKL",110,132906,0.990909090909091
"NET",6,0,1
"TWL",867,5014407,0.925028835063437
"1978",124,1259855,0.887096774193548
"1979",102,626077,0.970588235294118
"1980",271,615166,0.940959409594096
"1981",237,1146147,0.928270042194093
"1982",249,1500068,0.93574297188755
"Q1",162,848186,0.944444444444444
"Q2",289,1937730,0.916955017301038
"Q3",340,1978133,0.911764705882353
"Q4",192,383264,0.984375
