"marginalFLAG","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.97239263803681
"CRS",50,1522,0.96
"ERK",323,293,0.990712074303406
"MNT",108,0,0.990740740740741
"MRO",138,2013,0.963768115942029
"OSF",29,0,1
"HKL",110,1682,0.945454545454545
"NET",6,0,0.833333333333333
"TWL",867,2146,0.985005767012687
"1978",124,0,0.991935483870968
"1979",102,0,0.990196078431373
"1980",271,331,0.996309963099631
"1981",237,1742,0.983122362869198
"1982",249,1755,0.947791164658635
"Q1",162,526,0.975308641975309
"Q2",289,1522,0.996539792387543
"Q3",340,599,0.961764705882353
"Q4",192,1181,0.989583333333333
