"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,3698,0.386503067484663
"CRS",50,0,0.04
"ERK",323,0,0.309597523219814
"MNT",108,0,0.342592592592593
"MRO",138,0,0.355072463768116
"OSF",29,0,0.448275862068966
"HKL",110,0,0.318181818181818
"NET",6,0,0.166666666666667
"TWL",867,3698,0.339100346020761
"1978",124,0,0.346774193548387
"1979",102,3698,0.264705882352941
"1980",271,0,0.446494464944649
"1981",237,0,0.286919831223629
"1982",249,0,0.285140562248996
"Q1",162,0,0.475308641975309
"Q2",289,0,0.235294117647059
"Q3",340,1139,0.370588235294118
"Q4",192,2559,0.307291666666667
