"marginalWDOW","n","landing","coverage"
"BDG",9,13218,0.888888888888889
"BRG",326,635196,0.782208588957055
"CRS",50,182129,0.8
"ERK",323,15744399,0.637770897832817
"MNT",108,570494,0.527777777777778
"MRO",138,219593,0.789855072463768
"OSF",29,788477,0.827586206896552
"HKL",110,208182,0.836363636363636
"NET",6,10917,0.166666666666667
"TWL",867,17934407,0.698961937716263
"1978",124,749148,0.725806451612903
"1979",102,2751370,0.745098039215686
"1980",271,10708990,0.682656826568266
"1981",237,3288416,0.662447257383966
"1982",249,655582,0.767068273092369
"Q1",162,4011229,0.666666666666667
"Q2",289,4284190,0.678200692041522
"Q3",340,4756660,0.758823529411765
"Q4",192,5101427,0.713541666666667
