margBCAC,n,landing,coverage
BDG,9,689945,0.666666666666667
BRG,326,4401338,0.95398773006135
CRS,50,570089,1
ERK,323,2934116,0.934984520123839
MNT,108,2426405,0.962962962962963
MRO,138,1605793,0.891304347826087
OSF,29,1665847,0.827586206896552
HKL,110,906394,0.918181818181818
NET,6,20053,1
TWL,867,13367086,0.937716262975779
1978,124,1320166,0.92741935483871
1979,102,1408999,0.950980392156863
1980,271,2700181,0.955719557195572
1981,237,5193394,0.919831223628692
1982,249,3670793,0.927710843373494
Q1,162,3371850,0.938271604938272
Q2,289,3877067,0.944636678200692
Q3,340,4274305,0.920588235294118
Q4,192,2770311,0.947916666666667
