margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.601226993865031
CRS,50,1398777,0.4
ERK,323,1577283,0.609907120743034
MNT,108,20852,0.972222222222222
MRO,138,100136,0.920289855072464
OSF,29,7637,0.862068965517241
HKL,110,132906,0.890909090909091
NET,6,0,1
TWL,867,5014407,0.659746251441753
1978,124,1259855,0.532258064516129
1979,102,626077,0.705882352941177
1980,271,615166,0.686346863468635
1981,237,1146147,0.755274261603376
1982,249,1500068,0.694779116465863
Q1,162,848186,0.790123456790123
Q2,289,1937730,0.678200692041522
Q3,340,1978133,0.617647058823529
Q4,192,383264,0.739583333333333
