margURCK,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.852760736196319
CRS,50,44,0.98
ERK,323,0,0.736842105263158
MNT,108,0,0.805555555555556
MRO,138,0,0.840579710144927
OSF,29,0,0.758620689655172
HKL,110,0,0.827272727272727
NET,6,0,0.666666666666667
TWL,867,44,0.81199538638985
1978,124,0,0.967741935483871
1979,102,0,0.833333333333333
1980,271,44,0.992619926199262
1981,237,0,0.632911392405063
1982,249,0,0.70281124497992
Q1,162,0,0.919753086419753
Q2,289,0,0.771626297577855
Q3,340,44,0.735294117647059
Q4,192,0,0.921875
