"marginalBRWN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,4315,0.993865030674847
"CRS",50,0,1
"ERK",323,1394,0.996904024767802
"MNT",108,0,1
"MRO",138,144491,0.992753623188406
"OSF",29,35728,0.931034482758621
"HKL",110,35728,0.990909090909091
"NET",6,0,1
"TWL",867,150200,0.994232987312572
"1978",124,0,0.991935483870968
"1979",102,0,1
"1980",271,181604,0.988929889298893
"1981",237,2930,0.9957805907173
"1982",249,1394,0.995983935742972
"Q1",162,0,0.993827160493827
"Q2",289,35728,0.996539792387543
"Q3",340,4315,0.994117647058824
"Q4",192,145885,0.989583333333333
