"marginalDBRK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,531408,0.957055214723926
"CRS",50,377839,0.88
"ERK",323,651570,0.86687306501548
"MNT",108,7679,1
"MRO",138,2352,1
"OSF",29,5802,1
"HKL",110,3589,1
"NET",6,0,1
"TWL",867,1573061,0.927335640138408
"1978",124,78910,0.919354838709677
"1979",102,233217,0.950980392156863
"1980",271,322036,0.955719557195572
"1981",237,619303,0.945147679324895
"1982",249,323184,0.907630522088353
"Q1",162,549140,0.95679012345679
"Q2",289,386369,0.920415224913495
"Q3",340,290371,0.952941176470588
"Q4",192,350770,0.911458333333333
