"marginalGRAS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,0.98
"ERK",323,1251,0.996904024767802
"MNT",108,0,0.898148148148148
"MRO",138,0,0.956521739130435
"OSF",29,0,0.655172413793103
"HKL",110,0,0.909090909090909
"NET",6,0,1
"TWL",867,1251,0.945790080738178
"1978",124,0,0.766129032258065
"1979",102,0,1
"1980",271,0,0.96309963099631
"1981",237,0,0.953586497890295
"1982",249,1251,0.971887550200803
"Q1",162,0,0.901234567901235
"Q2",289,1251,0.955017301038062
"Q3",340,0,0.917647058823529
"Q4",192,0,1
