"marginalGSPT","n","landing","coverage"
"BDG",9,0,1
"BRG",326,274928,0.98159509202454
"CRS",50,23232,1
"ERK",323,231696,0.990712074303406
"MNT",108,15597,1
"MRO",138,105637,0.992753623188406
"OSF",29,24513,1
"HKL",110,108515,0.990909090909091
"NET",6,0,1
"TWL",867,567088,0.98961937716263
"1978",124,27031,0.991935483870968
"1979",102,91046,1
"1980",271,81904,0.988929889298893
"1981",237,329640,0.983122362869198
"1982",249,145982,0.991967871485944
"Q1",162,224167,0.987654320987654
"Q2",289,167944,0.98961937716263
"Q3",340,124482,0.994117647058824
"Q4",192,159010,0.984375
