"marginalREX","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.895705521472393
"CRS",50,0,1
"ERK",323,0,0.891640866873065
"MNT",108,0,1
"MRO",138,0,0.942028985507246
"OSF",29,3731,0.793103448275862
"HKL",110,0,0.918181818181818
"NET",6,0,0.833333333333333
"TWL",867,3731,0.915801614763552
"1978",124,0,0.951612903225806
"1979",102,0,0.980392156862745
"1980",271,0,0.985239852398524
"1981",237,0,0.746835443037975
"1982",249,3731,0.955823293172691
"Q1",162,0,0.845679012345679
"Q2",289,3731,0.98961937716263
"Q3",340,0,0.905882352941176
"Q4",192,0,0.880208333333333
