"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,1338,0.558282208588957
"CRS",50,157,0.34
"ERK",323,291,0.452012383900929
"MNT",108,0,0.583333333333333
"MRO",138,0,0.601449275362319
"OSF",29,0,0.275862068965517
"HKL",110,0,0.563636363636364
"NET",6,0,0.166666666666667
"TWL",867,1786,0.508650519031142
"1978",124,47,0.798387096774194
"1979",102,244,0.245098039215686
"1980",271,0,0.605166051660517
"1981",237,0,0.421940928270042
"1982",249,1495,0.465863453815261
"Q1",162,0,0.438271604938272
"Q2",289,1582,0.56401384083045
"Q3",340,204,0.429411764705882
"Q4",192,0,0.645833333333333
