"marginalURCK","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.0828220858895705
"CRS",50,44,0.2
"ERK",323,0,0.117647058823529
"MNT",108,0,0.0833333333333333
"MRO",138,0,0.434782608695652
"OSF",29,0,0.482758620689655
"HKL",110,0,0.427272727272727
"NET",6,0,0
"TWL",867,44,0.129181084198385
"1978",124,0,0.00806451612903226
"1979",102,0,0.225490196078431
"1980",271,44,0.0959409594095941
"1981",237,0,0.147679324894515
"1982",249,0,0.29718875502008
"Q1",162,0,0.302469135802469
"Q2",289,0,0.228373702422145
"Q3",340,44,0.1
"Q4",192,0,0.0520833333333333
