"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.777777777777778
"BRG",326,1535,0.0797546012269939
"CRS",50,0,0.1
"ERK",323,0,0.452012383900929
"MNT",108,0,0.509259259259259
"MRO",138,0,0.347826086956522
"OSF",29,0,0.379310344827586
"HKL",110,0,0.372727272727273
"NET",6,0,0
"TWL",867,1535,0.296424452133795
"1978",124,0,0.0161290322580645
"1979",102,1535,0.303921568627451
"1980",271,0,0.29520295202952
"1981",237,0,0.29535864978903
"1982",249,0,0.461847389558233
"Q1",162,0,0.469135802469136
"Q2",289,0,0.339100346020761
"Q3",340,0,0.235294117647059
"Q4",192,1535,0.229166666666667
