"species","mad"
"GSPT",4.17420284104082e-05
"RDBD",4.21733071970702e-05
"DBRK",4.38420756869242e-05
"BCAC",4.39376874346609e-05
"WDOW",4.42554273539676e-05
"GSRK",4.50255068220018e-05
"STRK",4.58931104874554e-05
"POP",4.59163918501455e-05
"CLPR",4.59376305609569e-05
"SNOS",4.62990571586679e-05
"CNRY",4.70577760981048e-05
"BLCK",4.74280452028547e-05
"YTRK",4.80493265211825e-05
"YEYE",4.892239210594e-05
"VRML",5.02940354723183e-05
"BANK",5.04011561638526e-05
"BLUR",5.19002336228776e-05
"OLVE",5.23085792342071e-05
"CWCD",5.25549811775332e-05
"LCOD",5.27137171927543e-05
"SSPN",5.34027804596768e-05
"STAR",5.38483844392068e-05
"ARRA",5.39091013231641e-05
"BLGL",5.42924698616135e-05
"COPP",5.79169819456954e-05
"SPKL",6.1006609750804e-05
"BRWN",6.14234300616897e-05
"FLAG",6.4391550095605e-05
"GBLC",6.55419073245638e-05
"REDS",7.20100142383897e-05
"LSPN",8.35666234265678e-05
"RSTN",8.94875835434953e-05
"ROSY",9.00478750559054e-05
"SBLY",9.01381806681257e-05
"REYE",9.39039800274213e-05
"SWSP",9.41203368085818e-05
"EGLS",9.66332690265316e-05
"MXRF",9.67113836786487e-05
"QLBK",9.71834216520136e-05
"GRAS",9.92827098051903e-05
"REX",9.97348341674884e-05
"SHRP",0.000100112914212688
"SLGR",0.000100975214072422
"BRNZ",0.000101676492310834
"CBZN",0.000106741713053827
"TIGR",0.000107154804829214
"YMTH",0.000109332106443723
"URCK",0.00010986901446645
