species,gear,year,n,landing,coverage
ARRA,HKL,1978,1,31286,1
ARRA,HKL,1979,29,781540,1
ARRA,HKL,1980,24,630761,1
ARRA,HKL,1981,27,637932,1
ARRA,HKL,1982,29,1775568,1
ARRA,HKL,1983,14,597340,1
ARRA,NET,1978,4,67535,1
ARRA,NET,1979,1,746,1
ARRA,NET,1982,1,150192,1
ARRA,NET,1983,8,1567347,1
ARRA,TWL,1978,119,5764425,0.991596638655462
ARRA,TWL,1979,72,7304535,0.986111111111111
ARRA,TWL,1980,247,18260573,0.979757085020243
ARRA,TWL,1981,210,15828056,0.980952380952381
ARRA,TWL,1982,219,9197127,0.936073059360731
ARRA,TWL,1983,290,9913801,0.924137931034483
BANK,HKL,1978,1,31286,1
BANK,HKL,1979,29,781540,0.724137931034483
BANK,HKL,1980,24,630761,0.875
BANK,HKL,1981,27,637932,0.740740740740741
BANK,HKL,1982,29,1775568,0.620689655172414
BANK,HKL,1983,14,597340,0.785714285714286
BANK,NET,1978,4,67535,1
BANK,NET,1979,1,746,1
BANK,NET,1982,1,150192,0
BANK,NET,1983,8,1567347,0.75
BANK,TWL,1978,119,5764425,0.957983193277311
BANK,TWL,1979,72,7304535,0.958333333333333
BANK,TWL,1980,247,18260573,0.967611336032389
BANK,TWL,1981,210,15828056,0.914285714285714
BANK,TWL,1982,219,9197127,0.881278538812785
BANK,TWL,1983,290,9913801,0.841379310344828
BCAC,HKL,1978,1,31286,0
BCAC,HKL,1979,29,781540,0.517241379310345
BCAC,HKL,1980,24,630761,0.708333333333333
BCAC,HKL,1981,27,637932,0.666666666666667
BCAC,HKL,1982,29,1775568,0.620689655172414
BCAC,HKL,1983,14,597340,0.5
BCAC,NET,1978,4,67535,1
BCAC,NET,1979,1,746,1
BCAC,NET,1982,1,150192,1
BCAC,NET,1983,8,1567347,0.625
BCAC,TWL,1978,119,5764425,0.605042016806723
BCAC,TWL,1979,72,7304535,0.763888888888889
BCAC,TWL,1980,247,18260573,0.716599190283401
BCAC,TWL,1981,210,15828056,0.685714285714286
BCAC,TWL,1982,219,9197127,0.589041095890411
BCAC,TWL,1983,290,9913801,0.675862068965517
BLCK,HKL,1978,1,31286,1
BLCK,HKL,1979,29,781540,0.96551724137931
BLCK,HKL,1980,24,630761,1
BLCK,HKL,1981,27,637932,1
BLCK,HKL,1982,29,1775568,0.896551724137931
BLCK,HKL,1983,14,597340,0.785714285714286
BLCK,NET,1978,4,67535,1
BLCK,NET,1979,1,746,1
BLCK,NET,1982,1,150192,1
BLCK,NET,1983,8,1567347,1
BLCK,TWL,1978,119,5764425,0.949579831932773
BLCK,TWL,1979,72,7304535,0.986111111111111
BLCK,TWL,1980,247,18260573,0.935222672064777
BLCK,TWL,1981,210,15828056,0.923809523809524
BLCK,TWL,1982,219,9197127,0.89041095890411
BLCK,TWL,1983,290,9913801,0.944827586206897
BLGL,HKL,1978,1,31286,1
BLGL,HKL,1979,29,781540,0.931034482758621
BLGL,HKL,1980,24,630761,1
BLGL,HKL,1981,27,637932,1
BLGL,HKL,1982,29,1775568,1
BLGL,HKL,1983,14,597340,1
BLGL,NET,1978,4,67535,1
BLGL,NET,1979,1,746,1
BLGL,NET,1982,1,150192,0
BLGL,NET,1983,8,1567347,1
BLGL,TWL,1978,119,5764425,0.974789915966387
BLGL,TWL,1979,72,7304535,0.944444444444444
BLGL,TWL,1980,247,18260573,0.97165991902834
BLGL,TWL,1981,210,15828056,0.976190476190476
BLGL,TWL,1982,219,9197127,0.963470319634703
BLGL,TWL,1983,290,9913801,0.910344827586207
BLUR,HKL,1978,1,31286,1
BLUR,HKL,1979,29,781540,0.862068965517241
BLUR,HKL,1980,24,630761,0.958333333333333
BLUR,HKL,1981,27,637932,0.962962962962963
BLUR,HKL,1982,29,1775568,0.896551724137931
BLUR,HKL,1983,14,597340,0.785714285714286
BLUR,NET,1978,4,67535,1
BLUR,NET,1979,1,746,0
BLUR,NET,1982,1,150192,1
BLUR,NET,1983,8,1567347,1
BLUR,TWL,1978,119,5764425,1
BLUR,TWL,1979,72,7304535,1
BLUR,TWL,1980,247,18260573,0.995951417004049
BLUR,TWL,1981,210,15828056,0.904761904761905
BLUR,TWL,1982,219,9197127,1
BLUR,TWL,1983,290,9913801,1
BRNZ,HKL,1978,1,31286,1
BRNZ,HKL,1979,29,781540,0.96551724137931
BRNZ,HKL,1980,24,630761,0.833333333333333
BRNZ,HKL,1981,27,637932,1
BRNZ,HKL,1982,29,1775568,0.310344827586207
BRNZ,HKL,1983,14,597340,1
BRNZ,NET,1978,4,67535,1
BRNZ,NET,1979,1,746,0
BRNZ,NET,1982,1,150192,1
BRNZ,NET,1983,8,1567347,0.75
BRNZ,TWL,1978,119,5764425,0.680672268907563
BRNZ,TWL,1979,72,7304535,1
BRNZ,TWL,1980,247,18260573,0.769230769230769
BRNZ,TWL,1981,210,15828056,0.561904761904762
BRNZ,TWL,1982,219,9197127,0.945205479452055
BRNZ,TWL,1983,290,9913801,0.689655172413793
BRWN,HKL,1978,1,31286,1
BRWN,HKL,1979,29,781540,0.758620689655172
BRWN,HKL,1980,24,630761,0.958333333333333
BRWN,HKL,1981,27,637932,0.962962962962963
BRWN,HKL,1982,29,1775568,0.448275862068966
BRWN,HKL,1983,14,597340,0.785714285714286
BRWN,NET,1978,4,67535,1
BRWN,NET,1979,1,746,0
BRWN,NET,1982,1,150192,0
BRWN,NET,1983,8,1567347,0.25
BRWN,TWL,1978,119,5764425,0.512605042016807
BRWN,TWL,1979,72,7304535,1
BRWN,TWL,1980,247,18260573,0.805668016194332
BRWN,TWL,1981,210,15828056,0.619047619047619
BRWN,TWL,1982,219,9197127,0.926940639269406
BRWN,TWL,1983,290,9913801,0.486206896551724
CBZN,HKL,1978,1,31286,0
CBZN,HKL,1979,29,781540,0.689655172413793
CBZN,HKL,1980,24,630761,0.0416666666666667
CBZN,HKL,1981,27,637932,0
CBZN,HKL,1982,29,1775568,0.551724137931034
CBZN,HKL,1983,14,597340,0.5
CBZN,NET,1978,4,67535,0
CBZN,NET,1979,1,746,0
CBZN,NET,1982,1,150192,0
CBZN,NET,1983,8,1567347,0.75
CBZN,TWL,1978,119,5764425,0.0168067226890756
CBZN,TWL,1979,72,7304535,0.138888888888889
CBZN,TWL,1980,247,18260573,0.210526315789474
CBZN,TWL,1981,210,15828056,0.3
CBZN,TWL,1982,219,9197127,0.205479452054795
CBZN,TWL,1983,290,9913801,0.0655172413793104
CLPR,HKL,1978,1,31286,1
CLPR,HKL,1979,29,781540,0.689655172413793
CLPR,HKL,1980,24,630761,0.916666666666667
CLPR,HKL,1981,27,637932,0.851851851851852
CLPR,HKL,1982,29,1775568,0.724137931034483
CLPR,HKL,1983,14,597340,0.714285714285714
CLPR,NET,1978,4,67535,1
CLPR,NET,1979,1,746,1
CLPR,NET,1982,1,150192,1
CLPR,NET,1983,8,1567347,0.625
CLPR,TWL,1978,119,5764425,0.613445378151261
CLPR,TWL,1979,72,7304535,0.513888888888889
CLPR,TWL,1980,247,18260573,0.647773279352227
CLPR,TWL,1981,210,15828056,0.719047619047619
CLPR,TWL,1982,219,9197127,0.73972602739726
CLPR,TWL,1983,290,9913801,0.758620689655172
CMEL,HKL,1978,1,31286,1
CMEL,HKL,1979,29,781540,0.241379310344828
CMEL,HKL,1980,24,630761,0.416666666666667
CMEL,HKL,1981,27,637932,0.222222222222222
CMEL,HKL,1982,29,1775568,0
CMEL,HKL,1983,14,597340,0.214285714285714
CMEL,NET,1978,4,67535,0
CMEL,NET,1979,1,746,1
CMEL,NET,1982,1,150192,0
CMEL,NET,1983,8,1567347,0.125
CMEL,TWL,1978,119,5764425,0.65546218487395
CMEL,TWL,1979,72,7304535,0.152777777777778
CMEL,TWL,1980,247,18260573,0.0688259109311741
CMEL,TWL,1981,210,15828056,0.319047619047619
CMEL,TWL,1982,219,9197127,0.465753424657534
CMEL,TWL,1983,290,9913801,0.437931034482759
CNRY,HKL,1978,1,31286,1
CNRY,HKL,1979,29,781540,0.96551724137931
CNRY,HKL,1980,24,630761,0.916666666666667
CNRY,HKL,1981,27,637932,0.62962962962963
CNRY,HKL,1982,29,1775568,0.758620689655172
CNRY,HKL,1983,14,597340,0.857142857142857
CNRY,NET,1978,4,67535,1
CNRY,NET,1979,1,746,1
CNRY,NET,1982,1,150192,1
CNRY,NET,1983,8,1567347,1
CNRY,TWL,1978,119,5764425,0.495798319327731
CNRY,TWL,1979,72,7304535,0.569444444444444
CNRY,TWL,1980,247,18260573,0.659919028340081
CNRY,TWL,1981,210,15828056,0.747619047619048
CNRY,TWL,1982,219,9197127,0.680365296803653
CNRY,TWL,1983,290,9913801,0.7
COPP,HKL,1978,1,31286,1
COPP,HKL,1979,29,781540,1
COPP,HKL,1980,24,630761,0.916666666666667
COPP,HKL,1981,27,637932,0.481481481481481
COPP,HKL,1982,29,1775568,0.96551724137931
COPP,HKL,1983,14,597340,0.857142857142857
COPP,NET,1978,4,67535,1
COPP,NET,1979,1,746,1
COPP,NET,1982,1,150192,0
COPP,NET,1983,8,1567347,0.75
COPP,TWL,1978,119,5764425,1
COPP,TWL,1979,72,7304535,1
COPP,TWL,1980,247,18260573,0.991902834008097
COPP,TWL,1981,210,15828056,1
