margBLGL,n,landing,coverage
BDG,12,0,1
BRG,401,311519,0.917705735660848
CRS,60,0,1
ERK,459,0,1
MNT,163,173977,0.907975460122699
MRO,164,171525,0.969512195121951
OSF,36,21168,0.916666666666667
HKL,124,46463,0.983870967741935
NET,14,114146,0.928571428571429
TWL,1157,517580,0.95419187554019
1978,124,4619,0.975806451612903
1979,102,53466,0.941176470588235
1980,271,131418,0.974169741697417
1981,237,18681,0.978902953586498
1982,249,171755,0.963855421686747
1983,312,298250,0.916666666666667
Q1,228,186637,0.93859649122807
Q2,390,106445,0.974358974358974
Q3,437,270772,0.963386727688787
Q4,240,114335,0.933333333333333
