margBLUR,n,landing,coverage
BDG,12,0,1
BRG,401,0,1
CRS,60,0,0.983333333333333
ERK,459,0,0.991285403050109
MNT,163,0,0.987730061349693
MRO,164,0,0.957317073170732
OSF,36,0,1
HKL,124,0,0.903225806451613
NET,14,0,0.928571428571429
TWL,1157,0,0.999135695764909
1978,124,0,1
1979,102,0,0.950980392156863
1980,271,0,0.992619926199262
1981,237,0,0.9957805907173
1982,249,0,0.987951807228916
1983,312,0,0.990384615384615
Q1,228,0,0.991228070175439
Q2,390,0,0.992307692307692
Q3,437,0,0.990846681922197
Q4,240,0,0.979166666666667
