margEGLS,n,landing,coverage
BDG,12,0,0.666666666666667
BRG,401,0,0.0773067331670823
CRS,60,0,0.316666666666667
ERK,459,0,0.111111111111111
MNT,163,1398,0.368098159509202
MRO,164,0,0.292682926829268
OSF,36,0,0.388888888888889
HKL,124,0,0.419354838709677
NET,14,0,0.0714285714285714
TWL,1157,1398,0.153846153846154
1978,124,0,0.129032258064516
1979,102,0,0.186274509803922
1980,271,1398,0.472324723247232
1981,237,0,0.156118143459916
1982,249,0,0.112449799196787
1983,312,0,0.00961538461538462
Q1,228,0,0.135964912280702
Q2,390,0,0.230769230769231
Q3,437,1398,0.164759725400458
Q4,240,0,0.158333333333333
