margGSRK,n,landing,coverage
BDG,12,45632,1
BRG,401,251652,0.99501246882793
CRS,60,35815,0.966666666666667
ERK,459,40163,0.973856209150327
MNT,163,20417,0.98159509202454
MRO,164,1308,1
OSF,36,0,1
HKL,124,2205,1
NET,14,0,1
TWL,1157,392782,0.983578219533276
1978,124,20436,0.991935483870968
1979,102,8874,0.980392156862745
1980,271,224858,0.985239852398524
1981,237,23860,0.9957805907173
1982,249,76650,0.987951807228916
1983,312,40309,0.974358974358974
Q1,228,209662,0.991228070175439
Q2,390,92517,0.992307692307692
Q3,437,57752,0.97025171624714
Q4,240,35056,0.995833333333333
