margLSPN,n,landing,coverage
BDG,12,0,0.5
BRG,401,432,0.249376558603491
CRS,60,0,0.1
ERK,459,0,0.176470588235294
MNT,163,0,0.294478527607362
MRO,164,0,0.353658536585366
OSF,36,0,0.111111111111111
HKL,124,0,0.475806451612903
NET,14,0,0.0714285714285714
TWL,1157,432,0.210025929127053
1978,124,163,0.17741935483871
1979,102,0,0.215686274509804
1980,271,269,0.022140221402214
1981,237,0,0.30379746835443
1982,249,0,0.309236947791165
1983,312,0,0.333333333333333
Q1,228,0,0.206140350877193
Q2,390,0,0.441025641025641
Q3,437,269,0.0480549199084668
Q4,240,163,0.2625
