margREYE,n,landing,coverage
BDG,12,0,1
BRG,401,0,0.982543640897756
CRS,60,0,0.916666666666667
ERK,459,0,0.790849673202614
MNT,163,0,0.865030674846626
MRO,164,0,0.932926829268293
OSF,36,0,0.805555555555556
HKL,124,0,0.935483870967742
NET,14,0,0.928571428571429
TWL,1157,0,0.879861711322385
1978,124,0,1
1979,102,0,0.92156862745098
1980,271,0,0.92619926199262
1981,237,0,0.940928270042194
1982,249,0,0.811244979919679
1983,312,0,0.810897435897436
Q1,228,0,0.934210526315789
Q2,390,0,0.833333333333333
Q3,437,0,0.871853546910755
Q4,240,0,0.95
