margSNOS,n,landing,coverage
BDG,12,0,1
BRG,401,298242,0.955112219451372
CRS,60,135352,0.916666666666667
ERK,459,68120,0.980392156862745
MNT,163,135949,0.96319018404908
MRO,164,174307,0.98780487804878
OSF,36,197641,0.888888888888889
HKL,124,0,1
NET,14,0,1
TWL,1157,1009611,0.961970613656007
1978,124,3677,0.983870967741935
1979,102,19016,1
1980,271,223827,0.966789667896679
1981,237,308301,0.949367088607595
1982,249,208910,0.971887550200803
1983,312,245880,0.955128205128205
Q1,228,295475,0.93859649122807
Q2,390,233201,0.974358974358974
Q3,437,390787,0.97254004576659
Q4,240,90148,0.966666666666667
