margSSPN,n,landing,coverage
BDG,12,0,1
BRG,401,5376,0.970074812967581
CRS,60,0,0.816666666666667
ERK,459,273,0.860566448801743
MNT,163,1340,0.950920245398773
MRO,164,20608,0.853658536585366
OSF,36,1189,0.833333333333333
HKL,124,0,0.887096774193548
NET,14,0,0.571428571428571
TWL,1157,28786,0.909248055315471
1978,124,250,0.991935483870968
1979,102,0,1
1980,271,6565,0.977859778597786
1981,237,0,0.970464135021097
1982,249,18500,0.93574297188755
1983,312,3471,0.69551282051282
Q1,228,4637,0.899122807017544
Q2,390,19275,0.982051282051282
Q3,437,4874,0.844393592677345
Q4,240,0,0.8875
