margSWSP,n,landing,coverage
BDG,12,0,0.25
BRG,401,0,0.0623441396508728
CRS,60,0,0.333333333333333
ERK,459,0,0.270152505446623
MNT,163,0,0.276073619631902
MRO,164,0,0.231707317073171
OSF,36,0,0.361111111111111
HKL,124,0,0.258064516129032
NET,14,0,0
TWL,1157,0,0.203975799481417
1978,124,0,0.032258064516129
1979,102,0,0.490196078431373
1980,271,0,0.391143911439114
1981,237,0,0.0717299578059072
1982,249,0,0.301204819277108
1983,312,0,0.0512820512820513
Q1,228,0,0.18859649122807
Q2,390,0,0.179487179487179
Q3,437,0,0.302059496567506
Q4,240,0,0.0958333333333333
