margWDOW,n,landing,coverage
BDG,12,76960,0.75
BRG,401,727171,0.785536159600998
CRS,60,230536,0.733333333333333
ERK,459,15794606,0.666666666666667
MNT,163,1034139,0.515337423312883
MRO,164,234946,0.798780487804878
OSF,36,925923,0.777777777777778
HKL,124,218538,0.790322580645161
NET,14,360798,0.428571428571429
TWL,1157,18444945,0.702679343128781
1978,124,749148,0.741935483870968
1979,102,2751370,0.725490196078431
1980,271,10708990,0.675276752767528
1981,237,3288416,0.679324894514768
1982,249,655582,0.759036144578313
1983,312,870775,0.698717948717949
Q1,228,4112305,0.666666666666667
Q2,390,4392668,0.682051282051282
Q3,437,5343034,0.74370709382151
Q4,240,5176274,0.725
