margYEYE,n,landing,coverage
BDG,12,0,1
BRG,401,320245,0.962593516209476
CRS,60,139402,0.95
ERK,459,101382,0.978213507625272
MNT,163,0,1
MRO,164,70542,0.853658536585366
OSF,36,52962,0.916666666666667
HKL,124,88036,0.790322580645161
NET,14,0,1
TWL,1157,596497,0.974935177182368
1978,124,184810,0.983870967741935
1979,102,64571,0.941176470588235
1980,271,48575,0.952029520295203
1981,237,99037,0.949367088607595
1982,249,206954,0.959839357429719
1983,312,80586,0.961538461538462
Q1,228,109164,0.951754385964912
Q2,390,229419,0.964102564102564
Q3,437,216724,0.963386727688787
Q4,240,129226,0.941666666666667
