margARRA,n,landing,coverage
BDG,31,0,1
BRG,420,8779,0.969047619047619
CRS,73,55612,0.863013698630137
ERK,533,32238,0.956848030018762
MNT,249,7261,0.967871485943775
MRO,201,220,0.985074626865672
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,104110,0.959859154929578
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.981549815498155
1981,237,11213,0.983122362869198
1982,249,17469,0.943775100401606
1983,312,59193,0.92948717948718
1984,277,10643,0.963898916967509
Q1,277,8460,0.971119133574007
Q2,441,22789,0.972789115646258
Q3,534,19064,0.960674157303371
Q4,320,53797,0.95
