margBRNZ,n,landing,coverage
BDG,31,0,1
BRG,420,0,0.952380952380952
CRS,73,0,0.958904109589041
ERK,533,0,0.984990619136961
MNT,249,0,0.983935742971888
MRO,201,766,0.965174129353234
OSF,65,0,1
HKL,128,766,0.9765625
NET,24,0,0.833333333333333
TWL,1420,0,0.975352112676056
1978,124,0,0.967741935483871
1979,102,766,0.980392156862745
1980,271,0,1
1981,237,0,0.915611814345992
1982,249,0,0.983935742971888
1983,312,0,0.987179487179487
1984,277,0,0.971119133574007
Q1,277,0,0.978339350180505
Q2,441,0,0.945578231292517
Q3,534,766,0.99250936329588
Q4,320,0,0.975
