margDBRK,n,landing,coverage
BDG,31,70967,0.967741935483871
BRG,420,1041133,0.952380952380952
CRS,73,696932,0.849315068493151
ERK,533,1116254,0.883677298311445
MNT,249,114290,0.967871485943775
MRO,201,77014,0.995024875621891
OSF,65,5802,1
HKL,128,3589,1
NET,24,0,1
TWL,1420,3118803,0.927464788732394
1978,124,78910,0.959677419354839
1979,102,233217,0.970588235294118
1980,271,322036,0.959409594095941
1981,237,619303,0.953586497890295
1982,249,323184,0.91566265060241
1983,312,830995,0.92948717948718
1984,277,714747,0.891696750902527
Q1,277,801262,0.953068592057762
Q2,441,702141,0.920634920634921
Q3,534,877311,0.945692883895131
Q4,320,741678,0.91875
