margFLAG,n,landing,coverage
BDG,31,0,1
BRG,420,1885,0.997619047619048
CRS,73,1522,0.986301369863014
ERK,533,487,0.99624765478424
MNT,249,0,1
MRO,201,5265,0.965174129353234
OSF,65,0,1
HKL,128,1682,0.96875
NET,24,0,1
TWL,1420,7477,0.995070422535211
1978,124,0,1
1979,102,0,1
1980,271,331,0.996309963099631
1981,237,1742,0.983122362869198
1982,249,1755,0.991967871485944
1983,312,3229,0.990384615384615
1984,277,2102,0.996389891696751
Q1,277,2628,0.989169675090253
Q2,441,3601,0.993197278911565
Q3,534,1749,0.99438202247191
Q4,320,1181,0.99375
