margGRAS,n,landing,coverage
BDG,31,0,0.967741935483871
BRG,420,0,0.904761904761905
CRS,73,0,0.835616438356164
ERK,533,1251,0.864915572232645
MNT,249,0,0.995983935742972
MRO,201,0,0.840796019900497
OSF,65,0,0.907692307692308
HKL,128,0,0.890625
NET,24,0,0.708333333333333
TWL,1420,1251,0.899295774647887
1978,124,0,0.82258064516129
1979,102,0,0.882352941176471
1980,271,0,0.804428044280443
1981,237,0,0.928270042194093
1982,249,1251,0.983935742971888
1983,312,0,0.967948717948718
1984,277,0,0.833935018050541
Q1,277,0,0.866425992779783
Q2,441,1251,0.866213151927438
Q3,534,0,0.962546816479401
Q4,320,0,0.85
