margPRRK,n,landing,coverage
BDG,31,0,0.67741935483871
BRG,420,0,0.864285714285714
CRS,73,0,1
ERK,533,0,0.894934333958724
MNT,249,0,0.839357429718876
MRO,201,0,0.935323383084577
OSF,65,0,0.907692307692308
HKL,128,0,0.890625
NET,24,0,0.666666666666667
TWL,1420,0,0.887323943661972
1978,124,0,0.959677419354839
1979,102,0,0.931372549019608
1980,271,0,0.885608856088561
1981,237,0,0.966244725738397
1982,249,0,0.995983935742972
1983,312,0,0.685897435897436
1984,277,0,0.884476534296029
Q1,277,0,0.884476534296029
Q2,441,0,0.891156462585034
Q3,534,0,0.840823970037453
Q4,320,0,0.946875
