margQLBK,n,landing,coverage
BDG,31,0,1
BRG,420,232,0.935714285714286
CRS,73,0,1
ERK,533,3180,0.99812382739212
MNT,249,0,0.979919678714859
MRO,201,0,0.960199004975124
OSF,65,0,1
HKL,128,3180,0.9765625
NET,24,0,0.833333333333333
TWL,1420,232,0.976056338028169
1978,124,232,0.967741935483871
1979,102,0,1
1980,271,0,0.974169741697417
1981,237,0,1
1982,249,0,0.995983935742972
1983,312,0,0.913461538461538
1984,277,3180,0.992779783393502
Q1,277,232,0.996389891696751
Q2,441,0,0.934240362811791
Q3,534,3180,0.98314606741573
Q4,320,0,0.99375
