margRDBD,n,landing,coverage
BDG,31,0,1
BRG,420,85858,0.992857142857143
CRS,73,155323,0.917808219178082
ERK,533,380649,0.949343339587242
MNT,249,471,1
MRO,201,16346,0.985074626865672
OSF,65,0,1
HKL,128,8589,1
NET,24,1748,1
TWL,1420,628310,0.972535211267606
1978,124,19636,0.975806451612903
1979,102,15938,1
1980,271,48975,0.977859778597786
1981,237,264477,0.970464135021097
1982,249,16910,0.987951807228916
1983,312,193803,0.971153846153846
1984,277,78908,0.96028880866426
Q1,277,139526,0.985559566787004
Q2,441,163820,0.972789115646258
Q3,534,294801,0.971910112359551
Q4,320,40500,0.975
