margREDS,n,landing,coverage
BDG,31,0,1
BRG,420,4464,0.945238095238095
CRS,73,0,0.958904109589041
ERK,533,106434,0.836772983114446
MNT,249,0,0.987951807228916
MRO,201,0,1
OSF,65,0,1
HKL,128,0,1
NET,24,0,0.875
TWL,1420,110898,0.920422535211268
1978,124,0,0.782258064516129
1979,102,0,1
1980,271,3996,0.870848708487085
1981,237,468,0.827004219409283
1982,249,4155,0.991967871485944
1983,312,99338,0.967948717948718
1984,277,2941,0.996389891696751
Q1,277,1180,0.913357400722022
Q2,441,94552,0.845804988662131
Q3,534,11104,0.960674157303371
Q4,320,4062,0.990625
