margRSTN,n,landing,coverage
BDG,31,0,1
BRG,420,1338,0.997619047619048
CRS,73,157,0.986301369863014
ERK,533,6340,0.98686679174484
MNT,249,0,1
MRO,201,0,1
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,7835,0.993661971830986
1978,124,47,0.991935483870968
1979,102,244,0.990196078431373
1980,271,0,1
1981,237,0,1
1982,249,1495,0.991967871485944
1983,312,4631,0.990384615384615
1984,277,1418,0.992779783393502
Q1,277,1414,0.992779783393502
Q2,441,5410,0.990929705215419
Q3,534,1011,0.99438202247191
Q4,320,0,1
