margSPKL,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,1
ERK,533,0,1
MNT,249,46977,0.955823293172691
MRO,201,85039,0.845771144278607
OSF,65,0,1
HKL,128,86801,0.7578125
NET,24,19885,0.75
TWL,1420,25330,0.996478873239437
1978,124,2555,0.959677419354839
1979,102,9951,0.941176470588235
1980,271,1542,0.988929889298893
1981,237,12829,0.978902953586498
1982,249,15597,0.955823293172691
1983,312,68071,0.96474358974359
1984,277,21471,0.996389891696751
Q1,277,44595,0.942238267148014
Q2,441,6597,0.984126984126984
Q3,534,55513,0.98876404494382
Q4,320,25311,0.959375
