margSRKR,n,landing,coverage
BDG,31,0,0.870967741935484
BRG,420,8183,0.788095238095238
CRS,73,0,0.972602739726027
ERK,533,0,0.904315196998124
MNT,249,0,0.867469879518072
MRO,201,0,0.945273631840796
OSF,65,0,0.846153846153846
HKL,128,0,0.9453125
NET,24,0,0.958333333333333
TWL,1420,8183,0.864788732394366
1978,124,0,1
1979,102,0,0.931372549019608
1980,271,0,0.760147601476015
1981,237,0,0.894514767932489
1982,249,0,0.919678714859438
1983,312,8183,0.759615384615385
1984,277,0,0.971119133574007
Q1,277,0,0.902527075812274
Q2,441,0,0.80952380952381
Q3,534,0,0.889513108614232
Q4,320,8183,0.90625
