margTIGR,n,landing,coverage
BDG,31,2766,0.967741935483871
BRG,420,0,1
CRS,73,0,0.958904109589041
ERK,533,0,0.868667917448405
MNT,249,0,0.995983935742972
MRO,201,0,0.960199004975124
OSF,65,0,0.984615384615385
HKL,128,0,0.9375
NET,24,0,0.958333333333333
TWL,1420,2766,0.947183098591549
1978,124,0,1
1979,102,0,0.843137254901961
1980,271,0,0.977859778597786
1981,237,2766,0.991561181434599
1982,249,0,0.983935742971888
1983,312,0,0.833333333333333
1984,277,0,0.985559566787004
Q1,277,0,0.978339350180505
Q2,441,0,0.956916099773243
Q3,534,0,0.897003745318352
Q4,320,2766,0.9875
