margVRML,n,landing,coverage
BDG,31,2300,0.967741935483871
BRG,420,66054,0.995238095238095
CRS,73,7346,0.958904109589041
ERK,533,60601,0.971857410881801
MNT,249,449,1
MRO,201,739375,0.796019900497512
OSF,65,5883,0.984615384615385
HKL,128,734996,0.6796875
NET,24,0,1
TWL,1420,147012,0.984507042253521
1978,124,50847,0.983870967741935
1979,102,61012,0.950980392156863
1980,271,248223,0.940959409594096
1981,237,191821,0.936708860759494
1982,249,298617,0.93574297188755
1983,312,16933,0.996794871794872
1984,277,14555,0.971119133574007
Q1,277,319614,0.945848375451264
Q2,441,193163,0.963718820861678
Q3,534,245791,0.964419475655431
Q4,320,123440,0.959375
