margBLCK,n,landing,coverage
BDG,56,0,1
BRG,457,2444,1
CRS,82,179620,0.926829268292683
ERK,594,2111372,0.846801346801347
MNT,344,20,0.997093023255814
MRO,266,66,1
OSF,104,0,0.990384615384615
HKL,138,368235,0.934782608695652
NET,47,0,1
TWL,1718,1925287,0.947613504074505
1978,124,232338,0.959677419354839
1979,102,238,1
1980,271,103623,0.940959409594096
1981,237,984858,0.932489451476793
1982,249,368675,0.895582329317269
1983,312,275084,0.94551282051282
1984,277,214528,0.956678700361011
1985,331,114178,0.978851963746224
Q1,339,701391,0.967551622418879
Q2,531,569725,0.939736346516008
Q3,645,455879,0.945736434108527
Q4,388,566527,0.945876288659794
