margBYEL,n,landing,coverage
BDG,56,0,0.928571428571429
BRG,457,0,0.923413566739606
CRS,82,0,0.98780487804878
ERK,594,0,0.863636363636364
MNT,344,0,0.997093023255814
MRO,266,0,0.879699248120301
OSF,104,0,0.913461538461538
HKL,138,0,0.891304347826087
NET,47,0,0.978723404255319
TWL,1718,0,0.914435389988359
1978,124,0,1
1979,102,0,0.990196078431373
1980,271,0,0.992619926199262
1981,237,0,1
1982,249,0,0.891566265060241
1983,312,0,0.833333333333333
1984,277,0,0.967509025270758
1985,331,0,0.782477341389728
Q1,339,0,0.870206489675516
Q2,531,0,0.909604519774011
Q3,645,0,0.928682170542636
Q4,388,0,0.935567010309278
