margCHNA,n,landing,coverage
BDG,56,0,0.982142857142857
BRG,457,0,1
CRS,82,0,0.853658536585366
ERK,594,0,1
MNT,344,0,0.941860465116279
MRO,266,0,0.868421052631579
OSF,104,0,0.942307692307692
HKL,138,0,0.978260869565217
NET,47,0,0.851063829787234
TWL,1718,0,0.962747380675204
1978,124,0,0.983870967741935
1979,102,0,1
1980,271,0,0.955719557195572
1981,237,0,1
1982,249,0,0.971887550200803
1983,312,0,0.96474358974359
1984,277,0,0.913357400722022
1985,331,0,0.945619335347432
Q1,339,0,0.985250737463127
Q2,531,0,0.930320150659134
Q3,645,0,0.987596899224806
Q4,388,0,0.938144329896907
