margCWCD,n,landing,coverage
BDG,56,4763,0.982142857142857
BRG,457,44030,0.991247264770241
CRS,82,0,1
ERK,594,0,1
MNT,344,18717,0.956395348837209
MRO,266,98373,0.951127819548872
OSF,104,6973,0.990384615384615
HKL,138,78600,0.927536231884058
NET,47,0,1
TWL,1718,94256,0.986030267753201
1978,124,0,1
1979,102,28859,0.970588235294118
1980,271,22193,0.981549815498155
1981,237,21283,0.983122362869198
1982,249,37889,0.983935742971888
1983,312,29573,0.987179487179487
1984,277,24608,0.963898916967509
1985,331,8451,0.987915407854985
Q1,339,15420,0.973451327433628
Q2,531,45315,0.984934086629002
Q3,645,107130,0.981395348837209
Q4,388,4991,0.987113402061856
