margGBLC,n,landing,coverage
BDG,56,0,1
BRG,457,0,1
CRS,82,0,1
ERK,594,0,1
MNT,344,0,1
MRO,266,46499,0.973684210526316
OSF,104,0,1
HKL,138,37006,0.956521739130435
NET,47,0,1
TWL,1718,9493,0.99941792782305
1978,124,0,1
1979,102,372,0.980392156862745
1980,271,1328,0.992619926199262
1981,237,0,1
1982,249,35306,0.991967871485944
1983,312,0,1
1984,277,9493,0.996389891696751
1985,331,0,1
Q1,339,5688,0.994100294985251
Q2,531,9551,0.99623352165725
Q3,645,30556,0.998449612403101
Q4,388,704,0.994845360824742
