margGSPT,n,landing,coverage
BDG,56,11774,0.982142857142857
BRG,457,437408,0.980306345733042
CRS,82,28135,1
ERK,594,342631,0.98989898989899
MNT,344,54403,0.997093023255814
MRO,266,111498,0.988721804511278
OSF,104,32283,0.990384615384615
HKL,138,108515,0.978260869565217
NET,47,0,1
TWL,1718,909617,0.989522700814901
1978,124,27031,0.983870967741935
1979,102,91046,0.990196078431373
1980,271,81904,0.981549815498155
1981,237,329640,0.970464135021097
1982,249,145982,0.995983935742972
1983,312,117317,0.993589743589744
1984,277,88793,0.996389891696751
1985,331,136419,0.993957703927492
Q1,339,315190,0.982300884955752
Q2,531,276253,0.986817325800377
Q3,645,232028,0.993798449612403
Q4,388,194661,0.989690721649485
