margHBRK,n,landing,coverage
BDG,56,0,0.25
BRG,457,0,0.175054704595186
CRS,82,0,0.329268292682927
ERK,594,0,0.141414141414141
MNT,344,0,0.229651162790698
MRO,266,0,0.206766917293233
OSF,104,0,0.0769230769230769
HKL,138,0,0.246376811594203
NET,47,0,0.25531914893617
TWL,1718,0,0.175203725261932
1978,124,0,0.0887096774193548
1979,102,0,0.264705882352941
1980,271,0,0.158671586715867
1981,237,0,0.265822784810127
1982,249,0,0.188755020080321
1983,312,0,0.189102564102564
1984,277,0,0.277978339350181
1985,331,0,0.0604229607250755
Q1,339,0,0.168141592920354
Q2,531,0,0.227871939736347
Q3,645,0,0.181395348837209
Q4,388,0,0.134020618556701
