margMXRF,n,landing,coverage
BDG,56,0,0.446428571428571
BRG,457,15828,0.363238512035011
CRS,82,0,0.439024390243902
ERK,594,0,0.306397306397306
MNT,344,0,0.566860465116279
MRO,266,0,0.458646616541353
OSF,104,0,0.471153846153846
HKL,138,0,0.369565217391304
NET,47,0,0.51063829787234
TWL,1718,15828,0.407450523864959
1978,124,0,0.290322580645161
1979,102,0,0.225490196078431
1980,271,15828,0.439114391143911
1981,237,0,0.421940928270042
1982,249,0,0.136546184738956
1983,312,0,0.474358974358974
1984,277,0,0.433212996389892
1985,331,0,0.589123867069486
Q1,339,0,0.259587020648968
Q2,531,6676,0.500941619585687
Q3,645,9152,0.404651162790698
Q4,388,0,0.412371134020619
