margPNKR,n,landing,coverage
BDG,56,0,1
BRG,457,0,0.986870897155361
CRS,82,0,1
ERK,594,0,0.966329966329966
MNT,344,0,0.921511627906977
MRO,266,2652,0.962406015037594
OSF,104,2172,0.990384615384615
HKL,138,0,1
NET,47,0,1
TWL,1718,4824,0.962747380675204
1978,124,0,0.870967741935484
1979,102,0,1
1980,271,0,1
1981,237,0,0.983122362869198
1982,249,0,1
1983,312,0,1
1984,277,0,0.88086642599278
1985,331,4824,0.966767371601209
Q1,339,2454,0.994100294985251
Q2,531,1517,0.994350282485876
Q3,645,853,0.967441860465116
Q4,388,0,0.902061855670103
