margREX,n,landing,coverage
BDG,56,0,0.982142857142857
BRG,457,0,0.912472647702407
CRS,82,0,1
ERK,594,0,0.964646464646465
MNT,344,0,0.915697674418605
MRO,266,0,0.890977443609023
OSF,104,3731,0.884615384615385
HKL,138,0,0.905797101449275
NET,47,0,1
TWL,1718,3731,0.930733410942957
1978,124,0,0.774193548387097
1979,102,0,1
1980,271,0,0.904059040590406
1981,237,0,0.9957805907173
1982,249,3731,0.963855421686747
1983,312,0,0.865384615384615
1984,277,0,0.935018050541516
1985,331,0,0.97583081570997
Q1,339,0,0.846607669616519
Q2,531,3731,0.922787193973635
Q3,645,0,0.942635658914729
Q4,388,0,0.994845360824742
